name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region	stein.region
RG56	63.0466	10.6061	29.2339180100763	-999	RG	R	grid	51.0707	18.3204	23.0549	precentral	n/a
RG57	26.0768	68.5342	-5.33979819101595	-999	RG	R	grid	22.6067	77.5242	-4.28997	rostralmiddlefrontal	n/a
RG58	31.2018	66.1489	0.711799845411127	-999	RG	R	grid	31.1269	73.3145	1.7966	rostralmiddlefrontal	n/a
RG59	42.0223	60.5065	7.25125890460724	-999	RG	R	grid	36.9803	65.9485	7.13865	rostralmiddlefrontal	n/a
RG60	47.4696	53.2047	12.2956219588674	-999	RG	R	grid	42.3061	58.1758	13.6709	rostralmiddlefrontal	n/a
RG61	52.5769	44.1202	18.0470927942843	-999	RG	R	grid	45.2335	49.3501	19.0458	parstriangularis	n/a
RG62	53.963	35.3268	25.6960530238392	-999	RG	R	grid	48.1011	41.0319	24.3202	rostralmiddlefrontal	n/a
RG63	54.4889	26.1717	31.5009791972704	-999	RG	R	grid	50.2126	30.8671	28.7224	rostralmiddlefrontal	n/a
RG64	0.0	0.0	n/a	-999	RG	n/a	grid	50.9702	22.4284	35.0022	precentral	n/a
ROF1	-12.4182	23.4594	-28.7482590260522	-999	ROF	L	strip	-12.2398	26.5557	-24.3402	lateralorbitofrontal	n/a
ROF2	-3.75834	20.9238	-25.87119487744	-999	ROF	L	strip	-1.96845	27.017	-23.6464	medialorbitofrontal	n/a
ROF3	10.7269	20.2638	-25.4675261957029	-999	ROF	R	strip	9.78571	28.5459	-24.0845	lateralorbitofrontal	n/a
ROF4	20.4468	29.1191	-28.5197534309527	-999	ROF	R	strip	18.8426	30.0461	-22.6094	lateralorbitofrontal	n/a
ROF5	28.4739	29.221	-28.4001996445637	-999	ROF	R	strip	29.6215	30.5815	-21.8902	lateralorbitofrontal	n/a
ROF6	38.9485	29.2731	-24.1361198417891	-999	ROF	R	strip	39.7733	30.538	-17.9487	lateralorbitofrontal	n/a
RAT1	16.9383	-7.42122	-31.4381354335138	-999	RAT	R	strip	18.47	-5.08679	-28.0643	entorhinal	n/a
RAT2	21.4083	-8.18025	-40.1263967821323	-999	RAT	R	strip	25.4378	-7.59631	-35.5439	entorhinal	n/a
RAT3	31.7899	-7.79525	-45.5255492517576	-999	RAT	R	strip	33.7288	-8.69747	-42.1157	inferiortemporal	n/a
RAT4	44.2672	-8.42352	-45.729121837971	-999	RAT	R	strip	43.0247	-7.70849	-43.7001	inferiortemporal	n/a
RMT1	17.6214	-25.8897	-19.5158388530843	-999	RMT	R	strip	19.0698	-23.5169	-15.2696	parahippocampal	n/a
RMT2	24.38	-25.502	-27.5580403108981	-999	RMT	R	strip	26.7337	-23.6757	-22.0546	fusiform	n/a
RMT3	31.9225	-21.4846	-36.1390901235314	-999	RMT	R	strip	35.4621	-20.7314	-27.1941	fusiform	n/a
RMT4	45.1289	-19.0181	-34.5527640708192	-999	RMT	R	strip	44.6782	-18.0509	-31.1946	inferiortemporal	n/a
RPT1	25.1792	-67.0933	-15.3243282121495	-999	RPT	R	strip	25.4253	-59.4678	-9.51354	fusiform	n/a
RPT2	34.9574	-60.3001	-18.3611627870521	-999	RPT	R	strip	33.6952	-53.6421	-13.0833	fusiform	n/a
RPT3	41.7356	-49.5616	-24.3513729480746	-999	RPT	R	strip	41.4178	-47.0443	-17.8863	fusiform	n/a
RPT4	53.9505	-44.432	-31.0917117847316	-999	RPT	R	strip	49.0408	-40.6139	-20.5555	inferiortemporal	n/a
RTO1	24.2146	-85.1811	42.4890885222005	-999	RTO	R	strip	22.4218	-83.3883	46.773	superiorparietal	n/a
RTO2	32.956	-85.5433	39.761516503184	-999	RTO	R	strip	33.1209	-81.169	44.9257	inferiorparietal	n/a
RTO3	41.7572	-81.817	37.1649724156769	-999	RTO	R	strip	42.0779	-76.8082	41.3741	inferiorparietal	n/a
RTO4	51.0163	-74.4794	31.0257006482173	-999	RTO	R	strip	50.0396	-72.263	36.5483	inferiorparietal	n/a
RTO5	55.894	-70.8023	28.7300575819114	-999	RTO	R	strip	56.2394	-65.9087	31.2363	inferiorparietal	n/a
RTO6	61.4189	-63.1624	17.2424139706808	-999	RTO	R	strip	60.8366	-58.0959	23.2028	inferiorparietal	n/a
RP1	10.7167	-60.8154	71.6276174832726	-999	RP	R	strip	9.8171	-60.0347	72.5785	superiorparietal	n/a
RP2	16.4665	-57.2422	76.7905989316717	-999	RP	R	strip	18.4356	-55.3049	74.7153	superiorparietal	n/a
RP3	24.882	-51.1525	76.0962740282511	-999	RP	R	strip	27.3422	-48.1376	75.26	superiorparietal	n/a
RP4	31.8121	-44.7693	72.5598396340575	-999	RP	R	strip	34.9453	-42.0508	73.5859	superiorparietal	n/a
RP5	43.2809	-40.8521	64.6220075801683	-999	RP	R	strip	42.5882	-35.299	69.4755	superiorparietal	n/a
RP8	57.4299	-18.4198	50.7734253931306	-999	RP	R	strip	54.6381	-12.7296	51.1807	postcentral	n/a
RDA1	11.916	-6.25572	-24.310884553572	-999	RDA	R	depth	12.5576	-3.27533	-19.3263	n/a	n/a
RDA2	15.849	-5.50603	-22.9152603603485	-999	RDA	R	depth	16.5384	-2.51384	-18.1041	n/a	Right Amy
RDA3	21.049	-6.46657	-23.0276623191599	-999	RDA	R	depth	21.8137	-2.96169	-18.683	n/a	Right Amy
RDA4	26.9615	-7.61099	-23.1382473524993	-999	RDA	R	depth	27.5963	-3.33566	-19.2367	n/a	Right Amy
RDH1	17.9319	-18.2864	-19.0584630633386	-999	RDH	R	depth	18.133	-16.5705	-14.4519	n/a	n/a
RDH2	22.4917	-18.7315	-20.1634292217132	-999	RDH	R	depth	23.209	-15.8317	-14.199	n/a	Right DG
RDH3	27.9695	-18.6406	-20.4452409003305	-999	RDH	R	depth	28.7924	-15.0189	-13.9208	n/a	Right DG
RDH4	32.8394	-18.7247	-21.9169704196604	-999	RDH	R	depth	33.948	-14.4507	-14.6877	n/a	Right DG
LAT1	-19.7892	5.352	-34.317732919536	-999	LAT	L	strip	-16.5363	9.24543	-37.4542	entorhinal	n/a
LAT2	-21.6083	0.621615	-44.1187586358877	-999	LAT	L	strip	-19.8691	0.61466	-41.4652	entorhinal	n/a
LAT3	-24.2331	-6.0609	-47.8757806627827	-999	LAT	L	strip	-27.1932	-6.83525	-41.7616	inferiortemporal	n/a
LAT4	-39.1249	-10.1532	-47.9761732910113	-999	LAT	L	strip	-37.3448	-9.83396	-38.8317	inferiortemporal	n/a
LPT1	-19.0413	-48.5717	-12.3536293867808	-999	LPT	L	strip	-22.0523	-45.1303	-9.28639	fusiform	n/a
LPT2	-28.6714	-38.3456	-21.9454110048408	-999	LPT	L	strip	-27.5669	-39.6078	-15.9549	fusiform	n/a
LPT3	-38.0209	-30.9747	-30.6214382928285	-999	LPT	L	strip	-33.1612	-33.915	-21.6035	fusiform	n/a
LPT4	-45.8544	-26.6324	-33.1132815399407	-999	LPT	L	strip	-39.6019	-26.4305	-25.5196	inferiortemporal	n/a
LDA1	-13.0997	-6.37977	-23.1967982544088	-999	LDA	L	depth	-10.7422	-3.71856	-18.8948	n/a	n/a
LDA2	-18.8149	-6.18499	-24.2824156669682	-999	LDA	L	depth	-15.6586	-4.79828	-21.1874	n/a	Left CA1
LDA3	-23.5751	-6.47232	-24.7904454774907	-999	LDA	L	depth	-21.1624	-5.78144	-22.4856	n/a	Left CA1
LDA4	-27.0389	-6.31084	-26.8212926191404	-999	LDA	L	depth	-26.2782	-5.67449	-23.9464	n/a	Left CA1
LDH1	-21.1798	-17.6911	-23.5369512084119	-999	LDH	L	depth	-18.7321	-18.166	-19.0648	parahippocampal	Left EC
LDH2	-26.37	-17.1445	-26.1056084800931	-999	LDH	L	depth	-23.8478	-18.0591	-20.5256	parahippocampal	Left MTL WM
LDH3	-31.9877	-17.4871	-28.2509643435953	-999	LDH	L	depth	-29.0432	-17.7816	-20.9665	parahippocampal	Left PRC
LDH4	-37.6163	-17.3296	-29.6898417244068	-999	LDH	L	depth	-33.2236	-17.3565	-21.357	fusiform	Left PRC
